Country Name,Country Code,year,gdp_real,gdp_ppp_real,gdp_per_energy,energy,log_gdp,log_energy,dlog_gdp,dlog_energy
India,IND,2001,839151992864.812,3437214013863.84,8.10616466656795,424024696665.71844,27.45565768655902,26.773057537335195,0.047112245494307814,0.014809283146512087
India,IND,2002,871073127580.09,3567964786685.36,8.18105617833272,436125203019.01935,27.49299176846072,26.801195201959736,0.0373340819016974,0.02813766462454126
India,IND,2003,939542798342.002,3848420429844.88,8.62128298803536,446386046622.72754,27.56865920914448,26.824449989959408,0.07566744068376252,0.02325478799967229
India,IND,2004,1013982178697.24,4153328341064.72,8.79976554664658,471981704404.32623,27.644906445693824,26.880206059925467,0.07624723654934229,0.05575606996605842
India,IND,2005,1094324353140.52,4482414430651.38,9.12610067039317,491164254323.11926,27.721158259660804,26.920044438987837,0.07625181396698011,0.03983837906237042
India,IND,2006,1182534912713.8,4843729870659.97,9.34791828910098,518161340403.18054,27.79868148137036,26.973552498669626,0.07752322170955495,0.05350805968178918
India,IND,2007,1273126725479.64,5214799058396.79,9.49626959392695,549141850578.016,27.87249697923703,27.031622625005124,0.07381549786667208,0.05807012633549746
India,IND,2008,1312424303406.43,5375764159724.54,9.24174488711551,581682812649.2894,27.9028971561539,27.089191140665893,0.03040017691687069,0.05756851566076904
India,IND,2009,1415605643155.69,5798400761878.85,9.28726813713655,624338683481.4282,27.97857857181532,27.159958820063295,0.07568141566141762,0.07076767939740236
India,IND,2010,1535897931732.14,6291124777993.23,9.51230680258485,661366891181.8209,28.060136297750862,27.2175745775502,0.08155772593554289,0.05761575748690362
India,IND,2011,1616399198833.92,6620862520105.21,9.60267198711397,689481274481.7157,28.1112220745022,27.25920537569889,0.051085776751339296,0.04163079814869164
India,IND,2012,1704596203504.32,6982122438465.14,9.54399915733579,731571988153.2556,28.164349367825935,27.31846146425724,0.05312729332373323,0.05925608855834952
India,IND,2013,1813453530766.63,7428008206430.01,9.9301792934352,748023574090.0101,28.226254171280758,27.34070033058738,0.061904803454822854,0.022238866330141605
India,IND,2014,1947834564908.95,7978440521051.13,9.96425594836036,800706100124.2144,28.297739391931085,27.40875980048507,0.07148522065032736,0.06805946989768685
India,IND,2015,2103588360044.94,8616416873256.67,10.4254061101304,826482612018.7367,28.37466574529629,27.440444715896334,0.07692635336520581,0.03168491541126528
India,IND,2016,2277267041550.36,9327814573620.6,11.0647517315433,843020684054.6584,28.45399717393354,27.460257330892404,0.07933142863724996,0.01981261499607001
India,IND,2017,2432016068497.75,9961675338509.53,11.3062353827653,881078007069.855,28.519741687123204,27.504412002742452,0.06574451318966368,0.04415467185004829
India,IND,2018,2588974770244.57,10604587056326.2,11.5431704986301,918689285373.088,28.58228307166961,27.54621380134216,0.06254138454640668,0.041801798599706785
India,IND,2019,2689205295885.31,11015136957033.9,11.8895958908088,926451753128.8934,28.620266836855624,27.554627806981202,0.037983765186012874,0.008414005639043154
India,IND,2020,2533830417086.54,10378712667572.0,11.7036769067092,886790770994.5704,28.560753272575635,27.51087490754665,-0.059513564279988884,-0.043752899434551296
India,IND,2021,2779348258938.77,11384367630967.9,11.8939842907849,957153410719.4143,28.653237576915263,27.58722951933413,0.09248430433962795,0.0763546117874796
India,IND,2022,2990839011962.46,12250645714410.2,11.8070695539712,1037568692079.891,28.726575069976153,27.66790129609316,0.07333749306089032,0.08067177675902926
India,IND,2023,3265719695911.24,13376572539398.9,12.1878690175057,1097531694850.4977,28.81450128190426,27.724084860613594,0.08792621192810657,0.056183564520434714
United States,USA,1990,9737636593624.97,11077900303331.0,5.78640146121541,1914471434030.803,29.907019554613676,28.280462686901465,,
United States,USA,1991,9727089478755.8,11065901510206.5,5.7330147300107,1930206362854.7222,29.905935838782053,28.28864803688833,-0.0010837158316228113,0.0081853499868636
United States,USA,1992,10069725930661.5,11455697578072.0,5.8182993864651,1968908235406.548,29.94055460586973,28.308500309830407,0.034618767087675195,0.01985227294207803
United States,USA,1993,10346824232649.6,11770934990572.7,5.87523852091142,2003482062673.208,29.967700751130533,28.325907813986877,0.02714614526080439,0.017407504156469855
United States,USA,1994,10763700132799.0,12245188636856.9,6.00088484161542,2040563843508.207,30.00720049006244,28.344247279471496,0.03949973893190872,0.018339465484618955
United States,USA,1995,11052644207040.4,12573902243788.9,6.08447688534079,2066554361326.1077,30.033690810020673,28.356903776541124,0.026490319958231368,0.012656497069627903
United States,USA,1996,11469635349338.5,13048286993860.1,6.17676801230985,2112478073946.7324,30.07072425487645,28.378882816927064,0.03703344485577631,0.021979040385939896
United States,USA,1997,11979704707077.8,13628561009889.7,6.38757292107191,2133605546001.7615,30.11423505948717,28.388834409174244,0.04351080461072243,0.00995159224718023
United States,USA,1998,12516770844481.1,14239547574159.7,6.61755916431878,2151782435272.8,30.158090528563598,28.397317654266324,0.043855469076426346,0.008483245092079983
United States,USA,1999,13116127034705.4,14921397636816.2,6.75172744377609,2210011846756.509,30.204863660340212,28.42401899196715,0.04677313177661446,0.026701337700824723
United States,USA,2000,13650948362520.0,15529830421574.7,6.83272854281234,2272859271997.7495,30.244830112253787,28.45205974599083,0.03996645191357473,0.028040754023681558
United States,USA,2001,13781388409036.2,15678223906685.3,7.03164489875058,2229666618897.534,30.254340131811308,28.432873191972373,0.009510019557520621,-0.019186554018457258
United States,USA,2002,14015733659783.6,15944823845939.4,7.07051757131894,2255114096684.868,30.2712016473581,28.44422168480269,0.01686151554679327,0.01134849283031869
United States,USA,2003,14407558345762.9,16390578292198.3,7.25144448810073,2260319074233.3403,30.298774069928914,28.446527102536407,0.02757242257081316,0.002305417733715842
United States,USA,2004,14961928297813.8,17021250324465.6,7.37848060121125,2306877424285.888,30.336529977081074,28.4669159616262,0.03775590715216026,0.020388859089791822
United States,USA,2005,15483134541390.2,17614194079174.4,7.59936017479913,2317852249928.394,30.370772453345737,28.47166211849036,0.03424247626466226,0.004746156864161577
United States,USA,2006,15914268559668.9,18104668294960.3,7.8858018408949,2295856358077.816,30.398237216427617,28.462127030616,0.027464763081880506,-0.009535087874361636
United States,USA,2007,16233167950743.9,18467460192886.9,7.90439463373393,2336353515811.636,30.4180776694579,28.479612503268196,0.01984045303028381,0.01748547265219713
United States,USA,2008,16251606759787.8,18488436873043.0,8.12288482138745,2276092457246.616,30.419212897341637,28.453481254059387,0.0011352278837364338,-0.026131249208809493
United States,USA,2009,15832884074310.8,18012082254562.6,8.32439949947864,2163769561478.9639,30.393110163644423,28.402872983940835,-0.02610273369721483,-0.05060827011855196
United States,USA,2010,16259610790677.0,18497542558530.8,8.34749286536915,2215939906372.449,30.419705283148996,28.42669776638291,0.026595119504573717,0.023824782442076753
United States,USA,2011,16513977256911.2,18786919382810.4,8.59465424001444,2185884255278.5269,30.435228244722353,28.413041556101092,0.015522961573356753,-0.013656210281819625
United States,USA,2012,16892000920975.5,19216973269350.6,8.96340203529553,2143937446259.7117,30.457861307521643,28.393665182526636,0.022633062799290116,-0.019376373574456096
United States,USA,2013,17249744800617.5,19623956113154.4,8.99467080975763,2181731441673.871,30.47881846512938,28.41113991678836,0.020957157607735866,0.01747473426172519
United States,USA,2014,17685097277697.8,20119229405758.1,9.11250272325417,2207870879908.315,30.5037434391475,28.423049764331083,0.024924974018119883,0.011909847542721508
United States,USA,2015,18206020741000.0,20711851459029.9,9.47905972641372,2185011177988.0051,30.532773465250806,28.412642060247,0.02903002610330674,-0.010407704084084202
United States,USA,2016,18537270454435.6,21088693546497.8,9.75728832874039,2161327290532.1873,30.55080444054779,28.40174363526268,0.018030975296984053,-0.010898424984318922
United States,USA,2017,18992846546661.7,21606973981564.2,10.0375073248543,2152623483328.5999,30.575083526657874,28.397708439002898,0.024279086110084336,-0.00403519625978177
United States,USA,2018,19556270302218.3,22247945959987.6,10.05001851507,2213721887837.9985,30.604317082507816,28.425696327075414,0.029233555849941695,0.027987888072516398
United States,USA,2019,20061570168697.6,22822794024024.9,10.313881682529,2212822943536.877,30.629827169013158,28.425290166357417,0.025510086505342144,-0.00040616071799703946
United States,USA,2020,19627632559934.5,22329130338640.6,10.9650294209427,2036394931690.105,30.607959513782003,28.342202170113758,-0.02186765523115497,-0.08308799624365903
United States,USA,2021,20816096100824.5,23681171000000.0,11.062556172742,2140659955097.0066,30.666747654368695,28.39213528765206,0.05878814058669235,0.049933117538301985
United States,USA,2022,21339074561820.0,24276130895657.9,11.1613536949933,2175016719212.7917,30.69156099449911,28.408057467434038,0.024813340130414474,0.01592217978197752
United States,USA,2023,21955252291273.6,24977117771722.8,11.6537620133459,2143266504251.5007,30.72002751116628,28.39335218504789,0.028466516667169373,-0.014705282386149321
World,WLD,1990,35945880219087.1,59655932609124.3,7.05446947500498,8456473278464.669,31.21303559600689,29.76595333247432,,
World,WLD,1991,36390873910981.3,60170695121005.2,7.06306732774049,8519060109293.069,31.225339142405268,29.773327134873863,0.012303546398378273,0.007373802399541773
World,WLD,1992,37149005453487.7,60973422661034.1,7.15896858224721,8517068060926.517,31.24595811563,29.773093273241017,0.020618973224731718,-0.0002338616328465548
World,WLD,1993,37851113313325.5,61911812366599.1,7.1816431536016,8620842200374.475,31.26468150920573,29.7852038988912,0.01872339357572983,0.012110625650183948
World,WLD,1994,39135896985992.0,63578969698531.1,7.32731009534275,8676986352596.432,31.298061243223998,29.791695389913542,0.03337973401826844,0.006491491022341478
World,WLD,1995,40374390922535.4,65564581101270.8,7.36432501347991,8902999389795.965,31.329216811847623,29.81740934598093,0.031155568623624674,0.025713956067388466
World,WLD,1996,41824891712125.0,68003210633466.1,7.45401213633437,9123034600653.035,31.36451277372755,29.841823605968354,0.03529596187992823,0.024414259987423748
World,WLD,1997,43483502334138.3,70689943948617.4,7.67420749872887,9211367292365.531,31.403402725400706,29.851459412545736,0.038889951673155565,0.009635806577382056
World,WLD,1998,44715003412067.1,72456565661300.8,7.83475393171859,9248097169709.975,31.431330208033682,29.855438934908687,0.027927482632975398,0.003979522362950405
World,WLD,1999,46315964796815.2,75077703230437.2,7.95526491694602,9437486245179.512,31.46650782961298,29.875710773038207,0.03517762157929738,0.020271838129520603
World,WLD,2000,48425685628052.2,78686230708143.3,8.16574448120401,9636136777150.451,31.51105148367692,29.896541394971308,0.0445436540639399,0.0208306219331007
